date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:34:47	224608/224608	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jun%202014%2013:34:43%20GMT	https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/www-secure.target.com/EverestLoginViewc534.html	(from )
06:34:47	25/25	---M--	200	added ('OK')	text/plain	etag:%229152d7f1724ed8fbcd2e0c87029f193c:1371146908%22	https://www-secure.target.com/robots.txt		(from )
06:34:48	74404/74404	---M-Z	200	added ('OK')	application/x-javascript	etag:%224dd9352-122a4-4fbf4428d6f80%22	https://img2-secure.targetimg2.com/wcsstore/TargetSAS/06_16_2014_09_49/javascript/Tealeaf/TealeafSDK.js	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/img2-secure.targetimg2.com/wcsstore/TargetSAS/06_16_2014_09_49/javascript/Tealeaf/TealeafSDK.js	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
06:34:49	38995/38995	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2019%20Jun%202014%2012:17:37%20GMT	http://nexus.ensighten.com/target/Bootstrap.js	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/nexus.ensighten.com/target/Bootstrap.js	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
06:34:49	12822/12822	---M-Z	200	added ('OK')	application/x-javascript	etag:%22264d69b-3216-4fbf4426eeb00%22	https://img3-secure.targetimg3.com/wcsstore/TargetSAS/06_16_2014_09_49/javascript/gomez.js	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/img3-secure.targetimg3.com/wcsstore/TargetSAS/06_16_2014_09_49/javascript/gomez.js	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
06:34:49	53034/53034	---M-Z	200	added ('OK')	application/x-javascript	etag:%227029959f33e71f27af55585160bd5f28:1401412753%22	https://media.richrelevance.com/rrserver/js/1.0/p13n.js	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/media.richrelevance.com/rrserver/js/1.0/p13n.js	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
06:34:49	68036/68036	---M-Z	200	added ('OK')	text/css	etag:%2238f4ba2-109c4-4fbb847ae4480%22	https://img2-secure.targetimg2.com/tff/06132014.1/css/Globalperf-1-minified.css	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/img2-secure.targetimg2.com/tff/06132014.1/css/Globalperf-1-minified.css	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
06:34:50	258689/258689	---M-Z	200	added ('OK')	text/css	etag:%2238f4ba4-3f281-4fbb84d671c80%22	https://img2-secure.targetimg2.com/tff/06132014.1/css/Globalperf-3-minified.css	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/img2-secure.targetimg2.com/tff/06132014.1/css/Globalperf-3-minified.css	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
06:34:50	77429/77429	---M-Z	200	added ('OK')	text/css	etag:%2238f4ba3-12e75-4fbb847eb4d80%22	https://img2-secure.targetimg2.com/tff/06132014.1/css/Globalperf-2-minified.css	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/img2-secure.targetimg2.com/tff/06132014.1/css/Globalperf-2-minified.css	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
06:34:52	12919/12919	---M-Z	200	added ('OK')	text/css	etag:%229e0dcd31cfc6fd93e690a41710576078:1403273845%22	http://static.targetimg1.com/everest_assets/prod/global_styles.css	C:/Users/Alt/Desktop/0414%20Biom%20Bacup/target/Target/static.targetimg1.com/everest_assets/prod/global_styles.css	(from https://www-secure.target.com/EverestLoginView?catalogId=10051&langId=-1&storeId=10151&krypto=AwoDT+e%2FkWXM4dqAArkYCWvwwYEmQn%2F4G9ko2qzTA8jBG6I9f5AwlgFfLr+vSjEd1Y1cF8Bz+mae%0AnSzEX24JzQChgFW8U08HL69SrMKcT3E%3D&ddkey=https:Logoff)
